n,k,mmb_items,ummb_items
5916648,7,5,2
5921490,22,9,5
5923551,12,8,3
5925530,12,7,4
5930505,15,8,4
5940506,20,7,4
5940906,386,14,8
5947471,17,8,5
5947879,92,10,6
5955765,9,7,3
5960905,12,8,4
5965015,9,6,4
5965015,11,6,4
5965423,227,11,7
5969545,15,8,4
5969932,166,15,7
5979763,13,6,3
5980155,144,14,7
5980155,279,16,8
5980155,371,16,8
6001705,15,8,4
6008885,15,7,3
6009293,309,13,8
6011377,18,9,5
6011913,13,8,4
6014988,14,8,4
6015404,312,13,8
6024072,19,7,4
6036513,14,8,3
6036913,93,11,6
6039537,9,6,2
6050240,12,8,3
6051279,9,7,3
6055056,10,7,3
6062450,82,10,6
6064830,65,9,6
6065198,12,6,3
6065598,348,11,8
6078459,15,8,4
6081739,17,8,4
6082339,18,7,3
6084052,14,6,3
6087497,20,8,4
6105353,11,8,4
6108543,16,10,4
6123029,13,7,3
6126792,36,8,4
6127184,290,12,7
6131754,11,8,4
6133754,18,8,4
6133939,5,6,3
6138594,13,8,3
6141397,12,7,3
6145119,8,8,3
6145519,89,10,6
6160137,3670,18,11
6162723,5,6,3
6179930,6,5,2
6180506,18,7,4
6231889,16,7,3
6237001,12,8,4
6244702,17,8,4
6245414,9,6,3
6250062,19,7,4
6250462,228,13,8
6251662,7,6,3
6260639,17,9,4
6266746,15,8,4
6269198,13,6,3
6272734,12,7,3
6274593,14,8,3
6293964,11,5,3
6299246,16,7,4
6300062,14,7,3
6304838,18,7,3
6312195,18,7,3
6313005,6,6,3
6313413,43,11,5
6320389,14,8,3
6323528,5,5,2
6337944,15,6,4
6341339,16,7,4
6343427,12,7,3
6349953,11,8,3
6367563,4,5,3
6369693,121,11,6
6371109,6,7,3
6376852,484,15,9
6376852,1964,17,11
6379229,1093,16,10
6379229,1568,16,10
6397515,6,5,3
6398549,10,7,3
6399965,13,7,3
6412490,13,8,4
6424423,15,7,4
6425043,20,9,5
6427171,9,6,3
6433633,17,8,3
6436937,8,5,2
6440761,7,5,2
6441162,47,10,5
6443498,13,8,4
6443903,233,11,8
6444503,12,6,4
6444903,81,9,6
6444903,163,12,7
6444903,259,12,7
6444903,309,12,7
6444903,342,12,7
6445924,805,14,9
6445924,981,17,10
6450273,2,5,2
6450273,6,6,2
6450273,20,9,4
6451094,12,6,3
6451622,16,7,3
6461583,11,7,3
6462359,16,6,4
6466092,9,5,3
6476548,11,6,3
6479291,12,8,4
6482181,20,8,3
6495462,8,6,3
6504623,14,7,3
6516832,10,8,3
6519239,12,7,4
6526068,17,6,3
6529556,14,6,3
6529956,222,13,8
6529956,374,13,8
6532075,16,8,4
6538086,10,6,3
6545162,6,5,2
6552419,15,7,3
6552811,363,14,8
6555981,21,8,4
6561940,8,6,3
6562340,328,14,8
6566681,16,7,4
6573598,13,7,3
6580258,14,8,3
6582420,12,6,3
6588083,14,6,3
6595969,21,10,4
6596370,351,14,9
6605531,18,7,4
6608017,116,11,6
6610889,18,8,4
6611289,328,13,7
6612673,268,13,8
6616575,26,10,4
6616575,159,16,7
6626027,15,8,4
6633104,11,7,3
6634426,14,8,4
6635202,12,8,3
6635786,16,8,4
6638183,16,7,4
6638583,234,13,7
6640568,18,7,4
6641620,17,6,3
6642172,16,8,4
6642724,13,7,3
6643404,20,8,4
6650679,14,7,4
6651081,263,14,8
6652577,7,6,2
6653191,18,7,4
6653599,267,12,8
6654863,10,7,3
6655569,70,9,5
6655569,353,14,8
6660306,14,7,3
6663042,17,8,3
6663834,11,7,4
6664378,10,5,2
6666069,14,7,3
6666661,14,8,3
6672810,13,8,4
6673394,13,7,3
6674394,11,7,4
6674798,43,7,4
6675414,55,9,5
6676614,82,12,6
6676614,613,13,8
