n,k,mmb_items,ummb_items
7955393,187,11,7
7955681,96,10,6
7955681,121,11,7
7955969,1,1,0
7955969,57,12,5
7955969,82,14,6
7955969,90,14,6
7956305,235,12,7
7956305,279,12,7
7956753,6,6,2
7957073,15,7,3
7957385,17,8,4
7957578,135,12,7
7957954,41,11,5
7958250,39,8,4
7958666,15,8,4
7958954,270,13,8
7959250,62,9,5
7959250,183,11,7
7959250,243,14,8
7959538,43,9,5
7959826,215,13,7
7959826,219,13,7
7959968,56,9,6
7959968,90,9,6
7960112,84,10,6
7960400,26,8,5
7960400,47,8,5
7960400,63,8,5
7960400,272,11,7
7960744,217,13,8
7961032,161,11,7
7961320,248,13,8
7961608,166,14,7
7961896,216,12,7
7962184,53,9,5
7962184,166,11,7
7962184,173,11,7
7962184,281,12,7
7962540,18,8,4
7962828,189,11,7
7963300,10,6,3
7963700,15,6,3
7963988,180,12,7
7963988,203,12,7
7963988,207,12,7
7964284,137,11,7
7964284,292,12,7
7964971,17,8,4
7965459,20,9,5
7965755,130,11,6
7966523,6,6,3
7966827,14,8,4
7967283,16,6,3
7967571,101,12,7
7967571,185,12,7
7967859,49,9,5
7968147,9,6,3
7968147,191,12,8
7968147,215,12,8
7968459,186,11,7
7968747,135,13,7
7969035,19,8,4
7969363,17,6,3
7970185,8,5,2
7970857,15,8,4
7972725,16,7,3
7973133,15,8,4
7973925,18,8,3
7974213,123,12,7
7974506,83,10,6
7974794,90,12,6
7976026,9,5,2
7976634,10,5,2
7981307,14,8,4
7981826,10,6,2
7982466,17,8,3
7984707,253,12,7
7985547,13,8,4
7985835,56,11,6
7985835,190,14,8
7986155,22,8,4
7986155,138,13,7
7986660,14,7,3
7986948,53,11,5
7986948,231,14,7
7987252,11,6,3
7987532,82,12,7
7987532,175,12,7
7988300,9,5,3
7988588,43,8,4
7989830,14,6,3
7990118,176,12,7
7995152,11,7,3
7995432,277,13,7
7997442,16,8,3
7998928,15,7,3
7999208,266,13,8
7999888,20,8,5
8003388,12,6,3
8006078,13,7,3
8008237,16,8,4
8012259,18,7,3
8012655,17,8,5
8012959,76,9,6
8013519,14,7,3
8013815,9,7,4
8014311,13,7,4
8015139,21,8,4
8015483,9,6,3
8016195,20,9,4
8016587,11,5,3
8016875,154,13,7
8019244,10,5,3
8019532,263,13,7
8022363,10,6,3
8022859,12,8,4
8024107,11,5,3
8024395,271,12,7
8026468,15,7,3
8029221,8,7,3
8029588,13,6,3
8030308,11,6,3
8030988,16,8,4
8032148,12,6,3
8033468,19,8,4
8033756,249,13,8
8034044,143,13,7
8035126,9,6,3
8035798,19,6,3
8036422,527,14,8
8037010,15,7,3
8037650,10,6,2
8038058,13,8,4
8039430,18,7,3
8039718,44,10,6
8040006,278,12,7
8040662,18,6,3
8040950,151,13,7
8041466,10,5,2
8041754,8,5,2
8042042,284,14,7
8042626,15,8,3
8042922,189,13,8
8042922,191,13,8
8042922,286,13,8
8043250,20,9,5
8044380,13,7,4
8044780,19,8,4
8045068,99,13,6
8045068,194,15,7
8045364,204,13,7
8046103,13,6,4
8046399,188,10,7
8046687,126,11,7
8046975,108,13,6
8046975,180,10,8
8047423,17,10,4
8047711,12,8,3
8047999,190,10,8
8047999,272,10,8
8049321,13,8,4
8049809,19,9,5
8052450,12,8,3
8053034,11,8,4
8053658,15,7,4
8054562,21,9,4
8054858,14,8,4
8055570,9,6,2
8056517,12,7,3
8056885,15,7,3
8057181,275,12,7
8057517,11,6,3
8060398,9,6,3
8060694,247,13,7
8060982,166,12,6
8061278,260,11,7
8063418,19,8,4
8063706,279,15,8
8064570,13,8,4
8064898,17,8,3
8065204,13,6,3
8065620,14,6,3
8065900,136,13,7
8067884,10,5,3
8068852,13,6,3
8069148,146,12,6
8070329,18,8,4
8070953,10,8,4
8071241,161,12,7
8071529,105,10,6
8075548,21,7,4
8079611,13,8,4
8080499,11,6,3
8080787,126,11,6
8081779,14,6,3
8082592,11,8,3
8083016,11,7,4
8084374,18,6,3
8084678,17,7,3
8085774,15,7,4
8088234,9,5,2
8090014,20,8,4
8092727,15,7,4
8095113,7,5,2
8095793,10,7,3
8096089,255,13,7
8097249,16,8,3
8099218,12,7,3
8099722,10,5,2
8100210,18,7,3
8100674,15,8,3
8100928,196,11,7
8102912,11,8,3
8104348,19,7,4
8108273,11,7,3
8108753,14,7,3
8111102,13,7,3
8111398,121,11,6
8113428,21,9,5
8114580,12,6,3
8118216,18,7,4
8121060,16,7,3
8123067,10,6,3
8125764,9,6,3
8126380,18,8,4
8126964,93,11,6
8127419,10,6,3
8127699,275,14,8
8128747,11,5,3
8129115,10,6,3
8129443,9,6,3
8130747,16,8,4
8136044,14,8,4
8137319,20,7,4
8138359,11,7,4
8139887,238,11,7
8140175,11,7,3
8140175,281,11,8
8140735,224,12,8
8141023,163,10,7
8142170,15,7,4
8142466,258,12,8
8142746,279,14,8
8143042,23,10,4
8143042,231,13,8
8143346,69,11,6
8143346,103,11,6
8143666,123,12,6
8143931,99,10,6
8145675,10,5,3
8145963,37,8,4
8146259,130,12,7
8150427,16,7,4
8150731,126,11,7
8151011,35,8,4
8151011,251,14,8
8152158,10,7,3
8152462,143,11,8
8156427,16,8,4
8157379,11,6,3
8157683,287,14,8
8158867,9,6,3
8158867,19,6,3
8159451,97,11,7
8159875,16,7,3
8160163,284,13,8
8160459,4,5,3
8160459,79,11,7
8161019,269,12,8
8164308,14,6,3
8165578,20,8,4
8165866,36,8,4
8166154,164,14,7
8166690,7,6,2
8167314,14,7,3
8167602,56,11,6
8167904,30,9,4
8167904,40,9,6
8168200,133,12,6
8169408,13,8,3
8170120,23,7,4
8170407,113,10,6
8170719,25,9,4
8171007,204,16,7
8171687,10,7,4
8171975,50,9,5
8171975,168,11,7
8174491,13,7,4
8175096,16,7,4
8175448,8,5,2
8175744,191,11,8
8177465,12,8,4
8178137,11,7,4
8180159,20,10,4
8180455,234,13,8
8180455,261,13,8
8180759,110,12,6
8181047,166,11,6
8181351,236,13,7
8184153,16,7,4
8184441,76,11,6
8184441,151,12,7
8184959,14,8,3
8186247,11,7,4
8188140,16,8,4
8188740,16,7,3
8189337,10,7,4
8189921,14,8,3
8190209,45,12,5
8190209,118,14,6
8190513,171,12,6
8190513,258,14,7
8190841,15,8,4
8191121,124,11,6
8192123,11,6,3
8192611,8,6,3
8193043,17,6,3
8194195,13,6,3
8194499,15,7,3
8195171,17,7,3
8195963,11,6,3
8197829,11,7,3
8198725,13,7,3
8200197,10,7,3
8201913,16,8,4
8202201,253,15,8
8203529,13,8,4
8204084,7,6,3
8204372,93,12,7
8204372,98,12,7
8206671,15,7,3
8207903,15,8,3
8208191,50,11,5
8208608,11,8,3
8208896,197,16,7
8209248,12,8,3
8209536,240,11,8
8210328,21,6,4
8210752,15,8,3
8211223,13,6,4
8211519,19,10,4
8211823,98,9,6
8211823,170,11,7
8212967,17,7,4
8213455,22,8,5
8214647,11,7,4
8214935,86,10,5
8215247,29,8,5
8215535,249,14,8
8215819,28,9,4
8216515,16,7,3
8218904,17,6,4
8219616,14,8,3
8220947,13,6,3
8221955,13,7,3
8223441,10,7,3
8224105,9,5,2
8224681,12,8,4
8225041,1,1,0
8225041,12,7,3
8225614,67,9,5
8225614,107,11,7
8225910,249,13,7
8226230,244,13,8
8226806,12,6,3
8228083,12,6,3
8228707,18,7,3
8228995,274,12,8
8229643,16,8,4
8229939,118,12,6
8230254,7,6,3
8230550,270,13,8
8230550,282,13,8
8231614,13,7,3
8232142,11,6,3
8232330,166,12,8
8232434,18,7,3
8232434,46,9,5
8232434,73,11,6
8232914,11,7,3
8233202,85,11,6
8233202,97,11,6
8233930,19,8,4
8234226,56,11,6
8234506,47,11,5
8235731,15,6,3
8236019,287,15,8
8237422,15,7,4
8238934,18,6,3
8240729,12,7,4
8243127,13,7,4
8243431,14,7,4
8243711,253,16,7
8243999,266,11,7
8244212,25,9,5
8244212,64,11,6
8244212,90,11,6
8244212,174,13,7
8244556,132,12,7
8245092,13,7,3
8245388,51,11,5
8245388,145,13,8
8245684,122,11,6
8245684,157,11,6
8247431,15,7,4
8250022,7,6,3
8250022,18,7,3
8250326,178,12,7
8250910,18,8,4
8251198,172,10,6
8251351,92,12,7
8251775,177,10,8
8252655,14,7,3
8253239,9,7,4
8253655,15,6,4
8254834,12,7,3
8255122,175,13,8
8255122,220,13,8
8256354,12,8,3
8256850,7,6,2
8257154,17,8,3
8257442,215,13,8
8257738,235,14,8
8258026,84,11,6
8258322,80,10,5
8258608,96,10,6
8258608,115,11,6
8258904,53,9,5
8259200,25,10,4
8259480,22,6,4
8259800,188,11,7
8259800,306,14,8
8260120,303,15,8
8260744,4,4,1
8261076,16,6,3
8261356,234,12,7
8261652,92,12,6
8261652,219,14,7
8261652,255,14,7
8261652,277,16,8
8262012,16,8,4
8262308,33,8,4
8262604,48,10,5
8262604,262,14,8
8262900,288,13,8
8263188,247,14,7
8263492,121,11,7
8264268,14,8,4
8264564,191,12,7
8264852,15,6,3
8265140,219,13,8
8266023,14,7,4
8266311,116,11,7
8266599,19,7,4
8266599,171,12,7
8266911,47,9,6
8267839,11,8,3
8268159,18,10,4
8268447,277,12,8
8268783,7,6,2
8269079,161,13,7
8269079,202,13,7
8269079,243,13,7
8269391,94,11,7
8269391,196,11,7
8269391,305,12,7
8269735,11,7,4
8270023,248,13,8
8270477,14,8,4
8270973,9,7,3
8271765,9,7,3
8272053,2,4,2
8272053,9,7,3
8272629,189,13,7
8272755,79,10,6
8273579,11,5,3
8273875,15,6,3
8274155,249,14,8
8274451,56,10,5
8274451,66,10,5
8275091,16,6,3
8275813,11,7,3
8277728,18,9,4
8278016,279,18,8
8278512,5,6,2
8278856,9,7,4
8279200,7,6,2
8279488,275,11,8
8279784,156,11,7
8279874,56,11,5
8280354,86,10,6
8280354,149,11,6
8280978,5,5,2
8281538,2,2,1
8281538,8,6,2
8282146,20,9,4
8282680,108,10,6
8282680,116,10,6
8282680,265,13,7
8282680,411,14,8
8283000,55,9,5
8283000,176,11,7
8283000,223,11,7
8283312,51,10,6
8283592,62,9,5
8283592,240,12,8
8284320,18,9,4
8284600,28,8,5
8285105,8,6,2
8285385,259,14,8
8285385,276,14,8
8285681,27,9,5
8285681,184,13,7
8285681,250,14,8
8286073,12,8,4
8286353,147,13,8
8286641,52,11,6
8286929,103,11,7
8286998,2,3,1
8287814,18,7,3
8289014,8,6,3
8290057,13,8,4
8290345,264,14,7
8291041,15,8,3
8291633,7,6,2
8291760,82,10,6
8291920,66,8,5
8292208,31,8,5
8292208,199,11,7
8293312,10,8,3
8293608,181,11,7
8293608,221,11,7
8293928,41,10,6
8294137,1,1,0
8295353,17,8,4
8296512,471,13,8
8297568,7,6,2
8297864,228,11,8
8298152,182,13,8
8299119,15,7,3
8300455,13,7,4
8301769,13,8,4
8302377,9,5,2
8302665,106,12,7
8303497,11,8,4
8305199,7,6,2
8305599,45,11,5
8306090,11,8,4
8308394,14,8,4
8310466,22,10,4
8312452,12,6,3
8313044,14,6,3
8313144,14,7,4
8313144,32,8,5
8313328,121,12,7
8313328,170,12,7
8313632,139,10,6
8314672,11,7,3
8314960,267,12,7
8315697,14,7,3
8315985,17,7,3
8317041,16,7,3
8317513,12,8,4
8318032,13,7,3
8318544,7,6,2
8318840,200,11,7
8318840,295,11,7
8320841,14,8,4
8321161,25,8,4
8321465,86,11,6
8321465,214,13,8
8322009,13,7,4
8322289,205,12,7
8322585,155,15,7
8322885,109,12,7
8325036,168,11,6
8325036,270,14,8
8325036,929,16,9
8325036,1230,17,10
8325660,521,15,8
8326052,107,10,6
8326356,115,11,7
8326356,189,11,7
8326356,233,14,8
8326652,196,14,7
8326948,26,8,4
8326948,70,10,6
8326948,207,12,7
8327364,381,13,8
8327801,14,8,4
8328081,38,9,5
8328377,265,14,8
8328865,20,9,4
8329169,51,9,5
8329681,6,6,2
8329970,91,11,6
8330338,1,2,1
8330338,14,8,3
8330954,16,8,4
8331442,17,7,3
8332913,8,6,2
8333201,100,11,6
8333201,116,11,6
8333201,182,13,8
8333617,16,7,3
8334544,16,7,3
8334840,37,9,5
8335128,114,12,6
8335416,38,8,5
8336712,50,9,5
8336916,3,3,1
8337740,18,8,4
8338468,11,6,3
8338796,11,5,3
8339092,93,11,6
8339092,267,13,8
8339092,284,13,8
8340711,17,7,4
8340991,239,16,7
8341375,17,10,4
8341889,21,10,4
8342185,217,14,8
8342185,225,14,8
8342481,2,5,2
8342481,182,12,7
8342761,104,11,6
8342761,112,12,7
8342761,179,12,7
8343057,211,14,7
8343377,5,5,2
8343657,88,10,6
8343657,162,13,7
8344153,48,10,5
8344441,8,5,2
8344441,20,8,4
8344441,198,12,7
8344745,258,14,8
8345033,235,13,8
8345321,45,11,6
8345841,17,7,3
8346427,12,8,4
8347571,15,6,3
8348531,21,9,5
8349311,17,10,4
8349647,121,11,7
8349647,131,11,7
8349647,136,11,7
8349959,71,10,5
8350351,7,6,2
8352209,8,6,2
8353249,17,8,3
8353565,206,13,7
8353853,116,10,6
8354149,44,10,6
8354853,121,12,6
8354853,270,14,7
8354853,464,16,8
8354853,633,17,9
8355261,58,10,5
8355789,7,6,3
8355948,90,10,6
8356348,189,14,7
8357052,4,3,1
8357916,9,6,3
8358244,4,3,1
8359030,2,3,1
8360430,11,6,3
8360981,9,7,3
8361261,189,13,7
8363053,6,6,3
8364263,55,10,6
8364263,279,13,8
8364263,606,14,8
8366274,4,5,2
8366562,151,12,7
8366562,273,13,8
8366562,281,13,8
8366930,4,5,2
8367218,149,12,7
8367506,184,12,8
8367843,12,7,3
8369435,120,12,6
8369435,362,14,9
8369435,593,14,9
8369435,595,14,9
8369435,776,14,9
8369731,102,11,7
8369731,139,11,7
8370464,16,8,3
8370792,144,12,7
8370792,146,12,7
8371088,194,12,8
8371384,116,10,6
8371384,254,13,8
8371720,18,7,4
8372016,57,10,6
8372016,204,12,7
8372464,9,7,3
8372765,109,12,6
8373069,48,10,5
8373637,12,7,3
8373949,105,10,6
8374469,8,7,3
8374757,105,13,7
8374757,138,13,7
8374757,169,13,7
8374979,97,10,7
8375363,260,12,7
8375659,33,8,4
8376307,6,6,3
8376307,13,6,3
8376899,45,10,5
8377645,12,6,3
8378189,19,8,4
8378477,134,13,7
8379253,12,7,3
8379549,148,11,6
8381513,14,8,4
8381809,30,9,5
8385242,18,7,4
8385866,10,5,2
8386258,13,7,3
8386570,19,8,4
8386979,15,7,3
8387275,49,10,5
8387275,131,11,7
8387955,15,6,3
8388251,191,13,8
8388251,257,13,8
8388251,289,13,8
8388547,16,7,3
8388547,208,12,8
8388547,232,12,8
8390145,8,6,2
8391489,8,6,2
8393887,17,9,4
8398166,8,6,3
8401055,15,8,3
8401372,11,6,3
8404782,12,6,3
8405078,116,12,7
8407223,12,7,4
8409603,21,9,4
8409899,115,12,6
8411434,16,8,4
8411962,9,5,2
8412266,16,8,4
8412266,43,10,6
8412570,263,13,8
8412570,298,13,8
8413928,17,7,4
8414352,17,8,5
8414720,15,8,3
8415008,184,11,7
8415304,48,9,5
8415304,231,12,7
8415723,10,5,3
8416027,48,9,5
8416027,187,13,7
8416323,153,11,7
8417555,20,9,5
8417780,146,13,7
8418396,11,6,3
8419244,10,5,3
8419548,233,14,8
8419844,105,13,6
8419844,275,16,8
8421582,14,6,3
8423331,10,6,3
8424587,12,8,4
8425514,90,11,6
8425514,130,12,6
8425514,258,14,7
8426074,18,7,4
8426434,21,10,4
8426738,76,11,6
8427042,17,8,3
8427042,31,9,4
8427042,230,13,7
8427300,142,11,6
8427628,240,14,7
8427924,62,10,5
8427924,253,12,8
8428236,70,10,5
8428236,260,14,8
8428532,10,6,3
8428532,253,15,8
8428532,282,15,8
8428532,291,15,8
8428844,267,13,7
8429140,205,12,7
8429140,209,12,7
8429428,134,12,7
8429428,225,12,7
8429428,237,12,7
8429719,81,10,5
8429719,240,13,8
8430727,7,5,2
8431015,213,12,8
8431479,13,7,4
8432306,16,7,3
8432666,14,7,4
8432962,202,11,7
8433250,57,9,6
8433250,127,12,7
8433554,120,11,6
8433554,215,13,8
8433858,164,10,7
8434154,26,8,4
8434154,79,11,6
8434154,100,11,6
8435240,79,10,6
8435624,13,7,4
8436849,19,9,5
8437145,44,10,5
8437969,14,7,3
8438265,113,12,6
8438265,152,14,7
8438265,165,14,7
8438265,216,14,7
8438577,25,8,5
8438577,137,12,6
8438577,260,13,7
8438889,88,10,6
8438889,226,13,7
8439185,260,12,8
8439984,21,7,5
8440408,16,6,4
8440728,20,6,4
8441024,21,10,4
8441024,149,9,7
8441024,182,9,7
8441424,13,7,3
8443357,20,8,4
8443653,153,15,7
8445864,20,7,4
8446152,238,13,8
8446152,283,13,8
8446582,9,6,3
8446878,208,12,8
8447254,17,6,3
8447550,113,9,6
8447846,57,9,6
8447846,158,12,7
8449076,13,6,3
8451118,13,6,3
8451558,15,7,3
8452358,17,7,3
8452726,8,6,3
8454069,10,7,3
8454365,262,14,8
8454365,287,14,8
8454677,140,13,6
8454677,247,15,7
8454677,256,15,7
8454677,290,16,8
8454997,234,13,7
8454997,263,13,7
8455773,3,5,2
8455773,20,8,4
8456072,42,10,5
8456072,169,12,8
8456384,113,9,7
8456384,232,12,8
8456872,15,7,4
8457248,13,8,3
8457544,122,11,7
8457840,223,11,7
8458136,146,11,6
8458424,142,10,6
8458424,174,10,6
8458720,145,11,7
8459016,27,8,4
8461807,23,8,5
8462255,21,7,5
8462543,108,10,7
8462543,129,10,7
8462543,192,10,7
8463389,22,8,4
8463677,36,10,5
8463677,261,12,7
8464365,15,8,4
8464661,124,13,6
8464661,271,14,7
8465301,14,7,3
8465591,94,10,6
8466015,16,9,4
8466599,19,7,4
8467559,16,7,4
8468322,9,6,2
8468626,152,13,8
8469010,15,7,3
8469306,148,12,6
8469306,159,12,6
8469594,103,13,7
8469594,223,14,7
8470253,17,8,4
8470549,259,15,7
8471309,15,8,4
8472707,13,7,3
8473051,15,7,4
8473387,18,8,4
8473763,12,7,3
8474123,12,8,4
8474555,12,8,4
8474850,224,11,7
8474850,248,13,8
8474858,5,5,2
8474858,171,12,7
8475378,15,7,3
8475730,16,7,3
8476098,20,10,4
8476394,18,8,4
8476394,286,14,8
8476922,19,8,4
8478585,16,8,4
8478873,99,12,6
8479305,7,5,2
8482421,18,7,3
8482813,13,7,3
8484815,17,8,5
8485495,10,7,4
8485935,13,7,3
8486231,79,9,5
8486599,13,7,4
8487029,19,7,3
8487317,23,10,5
8487637,205,12,7
8487637,209,12,7
8487637,218,15,8
8487637,285,15,8
8488877,20,8,4
8489194,7,5,2
8491410,18,7,3
8491694,17,7,4
8491694,39,7,4
8491990,135,12,7
8491990,243,14,8
8492342,14,6,3
8494040,16,6,4
8496740,19,7,3
8497284,10,6,3
8497748,11,6,3
8499634,15,7,3
8500394,19,8,4
8501974,15,6,3
8502782,17,9,4
8505324,12,5,3
8507496,7,5,2
8507496,13,7,4
8507856,20,8,5
8508244,12,6,3
8508852,12,6,3
8510756,10,6,3
8511052,68,10,5
8511052,160,12,7
8511052,194,12,7
8511348,226,12,7
8511708,16,7,4
8512252,12,6,3
8513051,9,6,3
8514363,17,8,4
8514659,33,8,4
8514947,102,12,6
8515633,18,8,5
8515961,21,8,4
8516417,18,10,4
8516713,202,13,7
8516713,210,13,7
8516713,231,13,7
8517185,18,10,4
8519272,20,7,4
8519776,12,8,3
8520008,205,11,7
8520432,17,8,5
8521976,17,7,4
8523058,19,8,5
8524138,17,8,4
8524434,174,13,8
8525072,18,8,5
8525368,174,11,6
8526552,10,6,4
8527008,15,8,3
8527394,15,8,3
8527698,149,12,7
8528226,11,8,3
8528562,10,6,2
8529466,18,8,4
8529549,69,11,5
8529757,142,12,7
8530189,13,6,3
8530485,91,12,6
8530781,197,12,7
8531077,129,13,6
8531373,213,13,8
8531373,232,13,8
8531917,17,8,4
8532210,212,12,7
8532874,16,8,4
8533178,33,9,5
8533178,225,14,8
8533466,250,14,8
8533770,230,14,7
8534066,113,11,6
8534357,15,7,3
8536293,14,8,3
8536589,96,13,6
8536887,17,7,4
8540993,20,10,4
8541449,13,8,4
8541745,67,11,6
8542033,44,9,5
8542329,68,11,6
8543137,426,14,9
8543137,436,14,9
8543137,535,14,9
8543561,22,8,4
8543561,34,9,4
8543870,37,11,5
8544630,18,6,3
8545006,10,6,3
8545294,29,7,4
8545294,153,14,7
8545590,23,8,5
8546479,10,7,3
8548015,11,7,3
8549537,16,8,3
8552472,15,6,4
8554054,16,7,3
8554350,228,12,7
8554638,69,10,5
8554638,135,11,6
8557195,13,8,4
8557483,149,11,6
8557483,258,14,8
8557987,17,7,3
8559072,14,8,3
8559368,10,7,4
8559368,98,12,6
8559656,113,11,6
8559656,197,13,7
8561841,1,1,0
8561841,11,7,3
8562441,10,8,4
8563716,17,7,3
8564468,19,6,3
8565324,9,5,3
8566175,20,9,4
8566463,225,12,8
8566759,212,12,7
8567479,17,7,4
8568092,9,6,3
8568388,202,12,7
8568692,161,12,7
8568996,157,10,6
8569612,12,5,3
8569908,94,11,6
8569908,120,12,6
8570387,18,6,3
8571155,19,6,3
8571451,38,9,5
8571939,22,8,4
8572227,286,11,7
8573383,13,7,4
8573671,199,11,7
8573975,187,14,7
8574271,70,10,7
8574271,223,10,7
8574567,40,9,6
8575135,12,8,3
8575135,16,9,4
8576423,23,7,4
8577601,19,10,4
8578697,14,8,4
8578993,119,11,6
8578993,252,14,8
8578993,270,14,8
8579345,284,14,9
8579649,10,8,3
8579649,35,11,5
8579649,69,11,7
8579649,125,11,7
8579953,83,10,6
8580977,11,7,3
8581273,55,10,5
8581753,18,8,4
8582573,20,8,4
8582893,22,8,4
8583189,39,10,5
8583189,262,15,7
8583493,36,10,4
8583853,14,8,4
8584149,88,13,7
8584149,136,13,7
8584454,118,13,6
8584454,182,14,7
8584966,14,6,3
8585342,12,7,3
8585734,14,6,3
8586126,13,6,3
8586846,80,8,5
8587366,50,9,6
8587662,36,8,4
8587958,282,14,8
8588254,52,8,5
8588550,146,14,7
8588846,163,11,6
8589278,14,7,3
8589582,156,13,7
8589870,274,13,7
8590166,102,12,7
8590166,146,12,7
8590478,60,10,5
8590774,11,6,3
8590774,53,8,5
8590774,117,11,6
8590774,241,13,8
8590774,278,13,8
8591110,7,6,3
8591110,11,6,3
8591110,63,11,5
8591110,107,13,6
8591110,168,14,7
8591110,315,13,9
8591414,16,6,3
8591414,34,8,5
8591414,106,11,6
8591623,5,5,2
8591623,15,7,4
8591623,76,12,6
8591623,94,12,6
8591623,167,13,7
8591623,175,13,7
8591727,40,8,5
8591727,57,9,6
8592031,278,12,8
8592327,8,7,4
8592327,239,13,8
8592327,241,13,8
8592327,249,13,8
8592327,258,13,8
8592647,30,8,4
8592647,254,13,7
8592647,311,13,9
8592647,320,13,9
8592967,168,11,7
8592967,281,12,7
8592967,300,12,7
8593287,45,10,5
8593287,93,11,6
8593287,219,12,8
8593287,236,12,8
8593399,47,9,5
8593479,7,5,2
8593479,15,7,4
8593639,15,7,4
8593639,19,7,4
8593655,13,7,4
8593919,2,4,1
8593919,16,10,4
8594779,159,12,7
8594779,183,12,7
8594779,588,15,9
8595075,22,9,4
8595139,20,9,4
8595155,14,6,3
8595259,20,8,4
8595323,22,8,4
8595395,26,9,4
8595731,54,10,5
8595731,58,10,5
8595731,79,10,5
8595731,240,13,7
8595731,298,14,9
8596227,14,7,3
8596227,16,7,3
8596227,26,9,4
8596267,8,5,3
8596504,24,6,4
8596664,10,7,4
8596664,17,7,4
8596776,9,7,4
8596840,7,5,2
8596840,17,7,4
8596896,5,6,2
8597176,7,5,2
8597200,23,8,5
8597280,2,3,1
8597280,12,8,3
8597352,6,5,2
8597472,8,6,2
8597560,18,7,4
8597712,22,8,5
8597752,15,7,4
8597976,24,6,4
8598056,12,7,4
8598192,16,7,3
8598232,16,6,4
8598640,62,9,6
8598778,19,8,4
8598778,73,12,6
8598778,112,12,6
8598778,122,12,6
8599106,44,11,5
8599106,52,11,5
8599106,101,11,7
8599106,201,12,7
8599106,224,12,7
8599202,13,8,3
8599202,17,8,3
8599338,21,8,4
8599442,13,7,3
8599562,19,8,4
8599562,34,9,4
8599874,85,11,7
8599874,96,11,7
8599874,176,11,7
8599930,18,8,4
8599978,17,8,4
8600114,11,7,3
8600410,19,7,4
8600410,99,13,7
8600410,123,13,7
8600594,14,7,3
8600730,9,5,2
8600970,17,8,4
8601262,5,5,2
8601582,29,7,4
8601582,123,12,7
8601582,133,12,7
8601942,17,6,3
8602550,15,6,3
8602654,21,8,4
8602998,23,9,5
8603310,6,5,2
8603430,8,6,3
8603557,1,1,0
8603557,13,7,3
8603613,23,8,4
8603773,7,7,3
8603773,21,9,4
8603989,9,7,3
8603989,69,10,5
8603989,125,13,7
8604149,6,7,3
8604149,41,10,5
8604349,22,9,4
8604525,13,6,3
8604885,13,7,3
8604885,33,10,5
8604885,119,12,7
8605029,29,9,4
8605125,15,8,3
8605301,11,7,3
8605301,13,7,3
8605501,24,9,4
8605501,79,10,6
8605701,17,8,3
8606119,25,7,4
8606255,9,7,3
8606399,15,8,3
8606911,24,10,4
8607287,26,8,5
8607487,26,10,4
8607487,97,14,6
8607839,6,6,2
8608055,3,4,1
8608175,7,6,2
8608677,23,9,4
8608797,17,8,4
8609669,18,8,3
8609669,20,8,3
8610005,4,4,2
8610005,16,7,3
8610429,24,9,4
8610429,30,11,5
8610429,48,11,5
8610429,102,12,6
8610629,29,10,4
8610713,1,1,0
8610713,49,10,5
8610801,12,7,3
8610801,28,9,5
8611065,13,8,4
8611065,124,13,7
8611065,146,13,7
8611321,20,8,4
8612073,19,8,4
8612233,24,8,4
8612273,14,7,3
8612473,20,8,4
8612473,80,11,6
8612929,15,8,3
8613421,11,6,3
8613421,65,11,6
8613869,158,13,7
8613869,209,13,7
8613869,213,13,7
8614205,26,9,4
8614205,278,12,7
8614461,17,9,4
8614933,21,7,3
8615053,10,6,3
8615053,47,11,5
8615053,65,11,5
8615413,25,10,5
8615413,33,10,5
8615413,103,12,6
8615413,127,14,7
8615810,12,8,3
8615810,66,12,5
8615810,132,12,8
8615810,222,12,8
8615810,242,12,8
8615810,325,12,8
8616066,16,8,3
8616066,46,12,5
8616066,89,13,6
8616202,15,8,4
8616202,40,9,4
8616202,42,9,4
8616322,16,8,3
8616650,114,11,7
8616970,25,8,4
8617026,19,10,4
8617538,16,8,3
8618011,16,7,4
8618011,22,7,4
8618091,13,8,4
8618451,14,6,3
8618843,12,7,4
8619227,7,6,3
8619563,12,8,4
8619883,16,8,4
8620471,1,2,0
8620471,114,10,6
8620895,29,9,4
8621127,13,7,4
8621695,19,10,4
8621831,10,7,4
8622519,14,7,4
8622519,22,7,4
8623280,10,7,3
8624024,12,6,4
8624392,10,7,4
8624408,16,6,4
8625008,107,9,6
8625040,6,6,2
8625488,17,8,5
8625776,224,11,7
8626072,142,11,6
8626944,13,8,3
8627457,12,8,3
8627753,25,8,4
8627753,97,11,6
8627753,193,14,7
8627857,67,10,5
8628537,10,8,4
8628537,304,13,7
8628753,4,5,2
8628969,13,8,4
8629273,69,11,5
8629745,5,5,2
8630114,13,8,3
8630114,119,12,7
8630562,18,8,3
8630666,4,5,2
8631218,3,5,2
8631218,35,8,5
8631218,73,11,6
8631634,6,5,2
8631858,16,7,3
8632320,18,10,4
8632320,33,12,5
8632840,17,7,4
8632840,80,12,6
8632840,174,14,7
8632840,309,15,8
8632984,5,5,2
8633296,10,7,3
8634040,12,7,4
8634112,8,6,2
8635057,18,8,5
8635569,13,7,3
8636073,7,5,2
8636393,15,8,4
8636561,10,7,3
8636785,7,6,2
8636785,62,10,6
8636785,66,10,6
8637428,8,6,3
8639004,188,14,7
8639004,192,14,7
8639004,281,14,7
8639004,332,15,8
8639164,12,6,3
8639164,154,10,6
