k,diff-to-upper-bound
416,1.7177734375
417,1.716796875
418,1.7158203125
419,1.71484375
420,1.7138671875
421,1.712890625
422,1.7119140625
423,1.7109375
424,1.7099609375
425,1.708984375
426,1.7080078125
427,1.70703125
428,1.7060546875
429,1.705078125
430,1.7041015625
431,1.703125
432,1.7021484375
433,1.701171875
434,1.7001953125
435,1.69921875
436,1.6982421875
437,1.697265625
438,1.6962890625
439,1.6953125
440,1.6943359375
441,1.693359375
442,1.6923828125
443,1.69140625
444,1.6904296875
445,1.689453125
446,1.6884765625
447,1.6875
448,1.6865234375
449,1.685546875
450,1.6845703125
451,1.68359375
452,1.6826171875
453,1.681640625
454,1.6806640625
455,1.6796875
456,1.6787109375
457,1.677734375
458,1.6767578125
459,1.67578125
460,1.6748046875
461,1.673828125
462,1.6728515625
463,1.671875
464,1.6708984375
465,1.669921875
466,1.6689453125
467,1.66796875
468,1.6669921875
469,1.666015625
470,1.6650390625
471,1.6640625
472,1.6630859375
473,1.662109375
474,1.6611328125
475,1.66015625
476,1.6591796875
477,1.658203125
478,1.6572265625
479,1.65625
480,1.6552734375
481,1.654296875
482,1.6533203125
483,1.65234375
484,1.6513671875
485,1.650390625
486,1.6494140625
487,1.6484375
488,1.6474609375
489,1.646484375
490,1.6455078125
491,1.64453125
492,1.6435546875
493,1.642578125
494,1.6416015625
495,1.640625
496,1.6396484375
497,1.638671875
498,1.6376953125
499,1.63671875
500,1.6357421875
501,1.634765625
502,1.6337890625
503,1.6328125
504,1.6318359375
505,1.630859375
506,1.6298828125
507,1.62890625
508,1.6279296875
509,1.626953125
510,1.6259765625
511,1.1875
512,1.1953125
513,1.203125
514,1.2099609375
515,1.216796875
516,1.22265625
517,1.228515625
518,1.234375
519,1.240234375
520,1.2451171875
521,1.25
522,1.2548828125
523,1.259765625
524,1.2646484375
525,1.26953125
526,1.2744140625
527,1.279296875
528,1.283203125
529,1.287109375
530,1.291015625
531,1.294921875
532,1.298828125
533,1.302734375
534,1.306640625
535,1.310546875
536,1.314453125
537,1.318359375
538,1.322265625
539,1.326171875
540,1.330078125
541,1.333984375
542,1.337890625
543,1.341796875
544,1.3447265625
545,1.34765625
546,1.3505859375
547,1.353515625
548,1.3564453125
549,1.359375
550,1.3623046875
551,1.365234375
552,1.3681640625
553,1.37109375
554,1.3740234375
555,1.376953125
556,1.3798828125
557,1.3828125
558,1.3857421875
559,1.388671875
560,1.3916015625
561,1.39453125
562,1.3974609375
563,1.400390625
564,1.4033203125
565,1.40625
566,1.4091796875
567,1.412109375
568,1.4150390625
569,1.41796875
570,1.4208984375
571,1.423828125
572,1.4267578125
573,1.4296875
574,1.4326171875
575,1.435546875
576,1.4375
577,1.439453125
578,1.44140625
